course_code,course_title,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev
AFRAMER 197,"Poverty, Race, and Health 001",Williams,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3c90321e36c8684ae1f3aee2dc7232e0cb3694c34ea437533b8f66f47c82beac1a55a4ca5f68c6dc182ec30c7f2f3ace&ReportType=2&regl=en-US,FAS-123435-2238-1-1-001,FAS-123435-2238-1-1-001(Williams),123435,14,20,4.0,4.0,4,0.8528028654224418,4.13,4.0,4,0.941138977121565,3.0,3.0,3.0,1.67,4.18,4.0,4,0.87
AFRAMER 201,Theory and Race in Africa 001,Agbiboa,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=07fefcc35cd1abfd6567afbdf0751cef683008526bfc4103b1c53b76b276a225e4f23ccf78b733e5ff9bbbd1a240afba&ReportType=2&regl=en-US,FAS-222201-2238-1-1-001,FAS-222201-2238-1-1-001(Agbiboa),222201,10,10,4.6,5.0,5,0.6666666666666666,4.8,5.0,5,0.40201512610368484,3.7,3.5,3.0,1.42,4.9,5.0,5,0.32
AFRAMER 232,The Ethnic Avant-Garde 001,McCarthy,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7625b4cc050444f980f4f6f802092f38668af546f53e4969162e5979652c41abfaee76ee1bb72f590d0e12e7c0f7ee39&ReportType=2&regl=en-US,FAS-222658-2238-1-1-001,FAS-222658-2238-1-1-001(McCarthy),222658,8,12,4.75,5.0,5,0.4351941398892446,4.88,5.0,5,0.33655211592363116,8.25,8.0,5.0,3.45,4.75,5.0,5,0.46
AFRIKAAN AA,Elementary Afrikaans 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e02d684636db96c2610f3bda62ba6eb00b0f84f2b3d168fc8d50d859d70c044e1d3925bdf73fa6f1d8694e951ea2063e&ReportType=2&regl=en-US,FAS-109427-2238-1-1-001,FAS-109427-2238-1-1-001(Mugane),109427,5,7,4.8,5.0,5,0.40201512610368484,0.0,0.0,0,-1.0,3.75,3.0,3.0,1.5,4.8,5.0,5,0.45
AMHARIC AA,Elementary Amharic 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f86a63c2c190d1eeacf386a2e69296666298f44582dac0e9dc91568b5344797bdf347b52279767b88ea8d54b4ff9e586&ReportType=2&regl=en-US,FAS-126300-2238-1-1-001,FAS-126300-2238-1-1-001(Mugane),126300,8,14,4.0,4.0,3,0.8206518066482898,0.0,0.0,0,-1.0,2.17,2.0,2.0,1.17,4.17,4.5,5,0.98
HAITIAN AA,Elementary Haitian Creole 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=37706e69d37bca4b6777565f9651a171fcbedb76c2ac11c0234d82d5e136cebf5cd3df5bb266c6e1268878473593c918&ReportType=2&regl=en-US,FAS-126306-2238-1-1-001,FAS-126306-2238-1-1-001(Mugane),126306,5,5,1.6,1.0,1,0.8040302522073697,4.5,4.5,4,0.502518907629606,1.33,1.0,1.0,0.58,2.25,2.5,3,0.96
IGBO AA,Elementary Igbo 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5f1ea0f50c20a992090cc38b1d1faaba482ed67d9ca6f06c44b838888fcf2e5045725e56c37f25099d9483567284e12f&ReportType=2&regl=en-US,FAS-126308-2238-1-1-001,FAS-126308-2238-1-1-001(Mugane),126308,6,11,2.5,3.0,3,0.7697241372886474,0.0,0.0,0,-1.0,1.8,2.0,2.0,0.84,2.4,3.0,3,0.89
JAMAICAN AA,Elementary Jamaican Patois 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ae2709b5ac015c7d9004d6efe9f8ecfac1e0143113dc8a4855c8df7022ca2ea438b55fc5f774f876a98b05ea2aa36663&ReportType=2&regl=en-US,FAS-156750-2238-1-1-001,FAS-156750-2238-1-1-001(Mugane),156750,7,10,5.0,5.0,5,0.0,0.0,0.0,0,-1.0,1.6,1.0,1.0,0.89,5.0,5.0,5,0.0
OROMO AA,Elementary Oromo 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7963cfd469b678a128a743349fe0a634c67120c3725173326d0a7a81f982924f820fb4480a7dc412b2f4e369c9a93901&ReportType=2&regl=en-US,FAS-206575-2238-1-1-001,FAS-206575-2238-1-1-001(Mugane),206575,5,8,3.8,4.0,5,1.1720654306553768,0.0,0.0,0,-1.0,2.8,2.0,2.0,1.92,4.4,5.0,5,0.89
WSTAFRCN AA,Elementary West African Pidgin 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f245914f42dbb43ca83bd61b7432a2429919d5a7f11998a4e73266ffeeb50c5dc7609b07cc3c4b3045ff98d7504cc31d&ReportType=2&regl=en-US,FAS-204110-2238-1-1-001,FAS-204110-2238-1-1-001(Ehineni),204110,13,17,5.0,5.0,5,0.0,5.0,5.0,5,0.0,2.67,2.0,2.0,2.16,5.0,5.0,5,0.0
YORUBA AA,Elementary Yoruba 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f1ec6f34406079fd2f1540c3005ff8455ca51a13cd6884d1e262c84e8d2258f0342353a070e579f4ac75c5779560ad2e&ReportType=2&regl=en-US,FAS-120952-2238-1-1-001,FAS-120952-2238-1-1-001(Ehineni),120952,7,9,4.71,5.0,5,0.45604802157206864,4.86,5.0,5,0.348735088019777,2.8,2.0,2.0,1.3,4.71,5.0,5,0.49
ZULU AA,Elementary Zulu 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5997435bbb0a83988bbe8737d92f44682e5bed72eebcacc7320c9b601507b19eb18284e0b06cb13beb1931576b8d9444&ReportType=2&regl=en-US,FAS-126316-2238-1-1-001,FAS-126316-2238-1-1-001(Mugane),126316,16,29,4.79,5.0,5,0.40936018074033237,0.0,0.0,0,-1.0,3.0,2.5,1.0,2.35,4.86,5.0,5,0.36
ANTHRO 98A,Junior Tutorial in Anthropology 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3c35dd632e44a76ed4a09b15bb3850b5502116a67c74e2ec0bd1703d07e6f5291c57736ca8794cb8dcd58def88d4f08f&ReportType=2&regl=en-US,FAS-205494-2238-1-1-001,FAS-205494-2238-1-1-001(Khaira),205494,13,18,4.2,4.5,5,0.8761716542303613,4.6,5.0,5,0.6666666666666666,3.83,4.0,4.0,0.75,4.44,5.0,5,0.88
ANTHRO 1084,Experimental Archaeology 001,Hlubik,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cfed47666137b322fb2a1f469b8de58432bbf9b98030443f3cbf651c1baeb5b6f3dfd067bee4b74a2e26c3a98321f0c1&ReportType=2&regl=en-US,FAS-222157-2238-1-1-001,FAS-222157-2238-1-1-001(Hlubik),222157,5,8,4.5,4.5,4,0.502518907629606,4.75,5.0,5,0.4351941398892446,1.6,2.0,2.0,0.55,4.25,4.5,5,0.96
ANTHRO 1130,Archaeology of Harvard Yard 001,Capone,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=79ffbe499a043a9b73ba13eac987085a79dbe1429c443a41d63adbf434bd4fab433cb53a398f6da5148d98c56f2e1220&ReportType=2&regl=en-US,FAS-121141-2238-1-1-001,FAS-121141-2238-1-1-001(Capone),121141,10,14,4.8,5.0,5,0.40201512610368484,5.0,5.0,5,0.0,3.25,3.0,3.0,1.28,4.7,5.0,5,0.48
ANTHRO 1130,Archaeology of Harvard Yard 001,Loren,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=34b52cfdde67c54a1f72f448d378e2450457825930516023891c69398d589e8ceba3b81aa6f47ccdb0fca58bf0c6d0f4&ReportType=2&regl=en-US,FAS-121141-2238-1-1-001,FAS-121141-2238-1-1-001(Loren),121141,10,14,4.8,5.0,5,0.40201512610368484,5.0,5.0,5,0.0,3.25,3.0,3.0,1.28,4.7,5.0,5,0.48
ANTHRO 1610,Ethnographic Research Methods 001,Fierman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=90bee8daa3bfe165573c482f00c6d501f90128391cd11fbeebbc943bfdbbb1a444d7cd001ba9818d216c9ddece8d8f8f&ReportType=2&regl=en-US,FAS-119379-2238-1-1-001,FAS-119379-2238-1-1-001(Fierman),119379,20,27,4.39,4.5,5,0.7756391955130695,4.81,5.0,5,0.3942772444036626,4.94,4.0,4.0,2.97,4.11,4.0,4,0.9
ANTHRO 1698,Anthropology of Death and Immortality 001,Bernstein,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=53a8c24ac8b317ec5626c8a91f05283098edb617b4fdd6152fc2f1aa48d7128f10a67f62b12176b5d78da36003fafd55&ReportType=2&regl=en-US,FAS-109571-2238-1-1-001,FAS-109571-2238-1-1-001(Bernstein),109571,18,25,3.6,4.0,3,1.1591222353296669,3.77,4.0,3,1.2045060727976045,4.0,4.0,5.0,1.57,3.64,4.0,3,1.22
ANTHRO 1781,"What Is Latin America? Politics, Culture, Identity 001",Fierman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4eef95d6f28a52a6764b7983204cb79f660f5dce69a7c59a371516d63821f2a649985a88474e4939133ae4640c63ac81&ReportType=2&regl=en-US,FAS-218707-2238-1-1-001,FAS-218707-2238-1-1-001(Fierman),218707,6,10,4.67,5.0,5,0.47258156262526085,4.67,5.0,5,0.47258156262526085,7.17,5.0,5.0,6.37,4.5,5.0,5,0.84
ANTHRO 1936,Anthropology of Religion 001,Bernstein,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2ead530a73717dbd8ca12d8ca22e117cd01aa067530578e73fab67fe72c1fee397d98c6bb0f67eb3e2070587643ac7db&ReportType=2&regl=en-US,FAS-109570-2238-1-1-001,FAS-109570-2238-1-1-001(Bernstein),109570,7,12,4.0,4.0,4,1.1009637651263606,4.0,4.0,3,0.8989331499509895,4.0,4.0,6.0,1.83,3.6,3.0,3,0.89
ANTHRO 2070,Archaeological Method and Theory: Seminar 001,Clark,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=698767b1087aa44033d4399b45f574b9bc074bca797380f39176276ff93d47df285b78d4a3c54c369990ddcf5aeec833&ReportType=2&regl=en-US,FAS-120489-2238-1-1-001,FAS-120489-2238-1-1-001(Clark),120489,6,7,4.8,5.0,5,0.40201512610368484,5.0,5.0,5,0.0,17.0,10.0,10.0,11.05,4.6,5.0,5,0.55
ANTHRO 2070,Archaeological Method and Theory: Seminar 001,Liebmann,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2a4a04015ae705f2fd7b2c0a9ff7a6323b29b3f386130e2ca57660edf2c32b60311d8a9430af9ddd4d4a715c68f6d0a0&ReportType=2&regl=en-US,FAS-120489-2238-1-1-001,FAS-120489-2238-1-1-001(Liebmann),120489,6,7,4.8,5.0,5,0.40201512610368484,4.75,5.0,5,0.4351941398892446,17.0,10.0,10.0,11.05,4.6,5.0,5,0.55
ANTHRO 2301,"The Past Matters: Cultural Policies, Heritage Education, and Community Engagement. 001",Cusicanqui Marsano,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=086de8c59f4e8a5c7de0e10ea63034b17051f539a80f0665305e5a84bdeb2e1473dbbd428c761525bf01066bfec9b8c8&ReportType=2&regl=en-US,FAS-222183-2238-1-1-001,FAS-222183-2238-1-1-001(Cusicanqui Marsano),222183,6,7,4.4,5.0,5,0.8040302522073697,4.8,5.0,5,0.40201512610368484,4.6,4.0,4.0,3.13,4.6,5.0,5,0.55
ANTHRO 2797,Theory and Practice of Social Medicine 001,Becerra,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4d4d16fc0a77ec8c973e63f202aeee26817612ec291f29441e32d5da1db89bf46cb0820e2a6645dc0bbf5e2e399d2a3a&ReportType=2&regl=en-US,FAS-218184-2238-1-1-001,FAS-218184-2238-1-1-001(Becerra),218184,11,14,4.55,5.0,5,0.5,4.63,5.0,5,0.7066865929066855,7.73,8.0,8.0,2.97,4.82,5.0,5,0.4
ANTHRO 2797,Theory and Practice of Social Medicine 001,Jones,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=aa3ea99e7df958d0a78e918d7ef01a6143e672663def37aee28e12d3a5eaa49c7427b08616dd850cc5cf0a0f38c9d1a0&ReportType=2&regl=en-US,FAS-218184-2238-1-1-001,FAS-218184-2238-1-1-001(Jones),218184,11,14,4.55,5.0,5,0.5,4.88,5.0,5,0.33655211592363116,7.73,8.0,8.0,2.97,4.82,5.0,5,0.4
ANTHRO 2797,Theory and Practice of Social Medicine 001,Keshavjee,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=420cc578bf5866a97a8c7b579fbfdfe11e46b121cea58957a37e8b5553e5e75a8487c67d1812aa305d77dfd728b1466f&ReportType=2&regl=en-US,FAS-218184-2238-1-1-001,FAS-218184-2238-1-1-001(Keshavjee),218184,11,14,4.55,5.0,5,0.5,4.44,5.0,5,0.6871842709362768,7.73,8.0,8.0,2.97,4.82,5.0,5,0.4
ANTHRO 2797,Theory and Practice of Social Medicine 001,Zeve,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=432c06dc4aa931e0695982b12f49df3c8d1a3986a9d894302aed857082eed995d726d0c3886aa75c005e247a08f5b4fa&ReportType=2&regl=en-US,FAS-218184-2238-1-1-001,FAS-218184-2238-1-1-001(Zeve),218184,11,14,4.55,5.0,5,0.5,4.75,5.0,5,0.4351941398892446,7.73,8.0,8.0,2.97,4.82,5.0,5,0.4
APCOMP 207,Systems Development for Computational Science 001,Becker Troncoso,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=873b816d891d37985066602c4dc30be394ff26eebdb9b8d7237c8b114d8872e075f5c7f5dbc27da76fb80426e461c610&ReportType=2&regl=en-US,FAS-128105-2238-1-1-001,FAS-128105-2238-1-1-001(Becker Troncoso),128105,126,171,1.94,2.0,1,1.0118489926063,2.31,2.0,1,1.3095233809094493,8.88,8.0,10.0,5.32,2.23,2.0,1,1.13
APCOMP 209A,Data Science 1: Introduction to Data Science 001,Protopapas,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c8cbbb04a778066f3dc9349c8113af5e17fad5fbdb56ff917576f63b449c7a229d3152d36a4db8de7e4df9679c9f67f7&ReportType=2&regl=en-US,FAS-109898-2238-1-1-001,FAS-109898-2238-1-1-001(Protopapas),109898,237,308,4.14,4.0,4,0.9069874655287484,4.69,5.0,5,0.6620293258480535,9.75,9.0,10.0,4.8,4.15,4.0,5,0.93
APCOMP 209A,Data Science 1: Introduction to Data Science 001,Rader,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ec04c04782b8a4467921a5ed9ec85627e47177bb7988627b26710c8597aa6d44034a658f7ae77b3ada82cc66e3d05f43&ReportType=2&regl=en-US,FAS-109898-2238-1-1-001,FAS-109898-2238-1-1-001(Rader),109898,237,308,4.14,4.0,4,0.9069874655287484,4.26,4.0,5,0.9169558772416919,9.75,9.0,10.0,4.8,4.15,4.0,5,0.93
APCOMP 215,Advanced Practical Data Science 001,Protopapas,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6a25ffb74f70631ac9f01faec795ca3848bbe025f973208c69ca9ad30870dcfd379cf0af32c202525752e3e31113cdac&ReportType=2&regl=en-US,FAS-215121-2238-1-1-001,FAS-215121-2238-1-1-001(Protopapas),215121,70,115,3.81,4.0,4,1.0824588545146516,4.11,4.0,5,1.0305242345621,10.47,8.5,10.0,6.05,3.9,4.0,5,0.94
APCOMP 297R,Computational Science and Engineering Capstone Project 001,Pan,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a61156e841b11e02ab5d432ba26dca4fa30ee35282420757f3e732f8f5fb3f2136f868ab54a1e0030e4ddf7db33e82c4&ReportType=2&regl=en-US,FAS-156202-2238-1-1-001,FAS-156202-2238-1-1-001(Pan),156202,28,65,3.79,4.0,4,1.0730867399773196,4.25,4.0,4,0.6256309946079569,10.82,10.0,10.0,5.22,3.83,4.0,4,0.92
APCOMP 298R,Interdisciplinary Seminar in Applied Computation 001,Pan,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e11515ad518e2daf6b39c8ac248678d0c4e98c6103d673b2ff44ad0b60255bbdcb87975200907ab968dc5c0d26da02af&ReportType=2&regl=en-US,FAS-109339-2238-1-1-001,FAS-109339-2238-1-1-001(Pan),109339,5,9,4.25,4.5,5,0.8333333333333334,4.75,5.0,5,0.4351941398892446,2.5,3.0,3.0,1.0,4.25,4.5,5,0.96
APMTH 10,Computing with Python for Scientists and Engineers 001,Kaxiras,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=07b9b32a3104ea00f9e8fc2a2bfccbe1c4b66211f6ff0629d56a99ebbe8f0f3856bc2ebda0c5770e611e9a8364488ef6&ReportType=2&regl=en-US,FAS-213407-2238-1-1-001,FAS-213407-2238-1-1-001(Kaxiras),213407,65,77,4.21,4.0,5,0.8236406002522206,4.58,5.0,5,0.8052228501376736,7.28,7.0,6.0,3.35,4.35,4.0,5,0.71
APMTH 10,Computing with Python for Scientists and Engineers 001,McCarty,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3c113e25bdb5e668eb61ca6c638f050c00890583587b89f16bb7d648716f74db3dd4c47f470fe4d779fbc341257019e3&ReportType=2&regl=en-US,FAS-213407-2238-1-1-001,FAS-213407-2238-1-1-001(McCarty),213407,65,77,4.21,4.0,5,0.8236406002522206,4.44,5.0,5,0.8447102186758211,7.28,7.0,6.0,3.35,4.35,4.0,5,0.71
APMTH 10,Computing with Python for Scientists and Engineers 001,Neofotistos,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8775db5e900e36c0fd71c4a93f076af56b67a8dca780c54a3a3f4aab73ce3398f8f135b125b22a680f6555324bb2f896&ReportType=2&regl=en-US,FAS-213407-2238-1-1-001,FAS-213407-2238-1-1-001(Neofotistos),213407,65,77,4.21,4.0,5,0.8236406002522206,4.68,5.0,5,0.5295319068800675,7.28,7.0,6.0,3.35,4.35,4.0,5,0.71
APMTH 22A,Solving and Optimizing 001,Gortler,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c408589ac0a3bb46823059c75cf5fda3a8dcc4ef3b46f9df99e70bd1cd84aed7f4981dad745b1e568c39cabb4959d372&ReportType=2&regl=en-US,FAS-211334-2238-1-1-001,FAS-211334-2238-1-1-001(Gortler),211334,34,37,3.37,3.0,3,1.1119559764617262,3.67,4.0,5,1.0979729297461962,6.77,6.5,5.0,2.69,3.67,4.0,4,1.03
APMTH 104,"Complex and Fourier Analysis with Applications to Art, Science and Engineering 001",Mahadevan,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a9654f82b9374ae78ff7c7174328c1387922f774cac8c5b9a9612a27b9551403c9e5dc0a82752a81f1e52ea8b95df4c2&ReportType=2&regl=en-US,FAS-122094-2238-1-1-001,FAS-122094-2238-1-1-001(Mahadevan),122094,68,82,3.49,4.0,4,1.1054959123041623,4.22,5.0,5,1.0578017524640315,7.62,7.0,6.0,2.71,3.44,4.0,4,1.12
APMTH 111,Introduction to Scientific Computing 001,Iams,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e80716500477160848ca0c42fd7f49b56d57fd2a4515cae862e5381b648e62efa1f5a223eefc57bc64ceb94c00e644ab&ReportType=2&regl=en-US,FAS-120198-2238-1-1-001,FAS-120198-2238-1-1-001(Iams),120198,8,10,4.25,5.0,5,1.413373185813371,4.38,5.0,5,1.0072017898835142,10.75,9.5,11.0,6.18,4.25,5.0,5,1.49
APMTH 121,Introduction to Optimization: Models and Methods 001,Levine,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=59e84b8b8ac52d7d1821a7756d30ffc1ad88dba8bb9447dd1853fb5c5afbd567bf807301e1bc8876ad079fc6c56ed5a4&ReportType=2&regl=en-US,FAS-123662-2238-1-1-001,FAS-123662-2238-1-1-001(Levine),123662,68,75,4.53,5.0,5,0.6428314889862842,4.85,5.0,5,0.3588702812826367,6.69,6.0,5.0,3.1,4.55,5.0,5,0.67
